日期,標題,網址
2020/08/25,炫耀買iPhone卻被打槍！朋友惱羞嗆「4萬哪可能輸你2萬的」…8千人炸了,https://www.ettoday.net//news/20200825/1792579.htm
2020/08/24,Google 新型TV設備現身 FCC！　可能是萬眾矚目的「Sabrina」,https://www.ettoday.net//news/20200824/1791840.htm
2020/08/24,蘋果沒發表過！「初代Mac mini」原型曝光　還能放iPod nano,https://www.ettoday.net//news/20200824/1792191.htm
2020/08/24,iOS 14 爆雷了！　iPhone 12 系列關鍵升級遭洩漏　120Hz高階螢幕有譜,https://www.ettoday.net//news/20200824/1792015.htm
2020/08/24,工研院攜手明泰布建5G專網　再榮獲全球小型基地台論壇獎,https://www.ettoday.net//news/20200824/1792091.htm
2020/08/24,"三星Galaxy Tab S7、S7+平板8/28登台　售價19,990元起",https://www.ettoday.net//news/20200824/1792052.htm
2020/08/24,果粉買手機先等等　iPhone 12推出後兩款iPhone將降價,https://www.ettoday.net//news/20200824/1792022.htm
2020/08/24,iPad Air 4 渲染圖曝光！超美機身搭大螢幕占比　接口可望改為USB-C,https://www.ettoday.net//news/20200824/1791897.htm
2020/08/24,LINE Pay攜手全台逾600家飯店、民宿、影城　最高享500點回饋,https://www.ettoday.net//news/20200824/1791973.htm
2020/08/24,果粉暴動了！蘋果經典「iPhone SE最新3款」傳明年登場　特色規格提前曝光,https://www.ettoday.net//news/20200824/1791959.htm
2020/08/24,台灣大、NVIDIA共創雲端遊戲平台　即日起推出公開測試版,https://www.ettoday.net//news/20200824/1791948.htm
2020/08/24,壓低5G手機成本！郭明錤：蘋果改規格「狂向供應商砍價」　最大受害者曝光,https://www.ettoday.net//news/20200824/1791902.htm
2020/08/24,三星查找功能升級了！　可以尋找離線手機　還能解鎖設備,https://www.ettoday.net//news/20200824/1791809.htm
2020/08/23,科技大廠如蘋果應受政府嚴格監管　比爾蓋茲：像我一樣成功理當承受,https://www.ettoday.net//news/20200823/1791377.htm
