名稱,縮寫,訂閱數,創立日期,本月文章數
香港浸會大學,hkbu,533,2019/7/12,8
中華民國海軍軍官學校,cna,529,2018/11/5,1
電競實況,esports,460,2020/7/31,37
港澳日常,hkmacdaily,426,2018/10/3,334
母親節,mother,425,2016/5/14,0
父親節,father,408,2016/5/17,0
大華科大,tust,366,2016/8/11,1
香港教育大學,eduhk,361,2019/7/12,1
臺灣戲曲學院,tcpa,358,2016/8/18,1
香港公開大學,openu,351,2019/7/12,6
康寧醫護暨管理專科學校,knjc,341,2016/9/23,1
香港樹仁大學,syu,336,2019/7/12,17
LINE FRESH 校園競賽,line_fresh,330,2020/6/30,10
蘭陽技術學院,fit,329,2016/8/25,1
大同技術學院,ttc,323,2016/8/25,1
逢甲大學二手物交流,fcu_secondhand,315,2018/7/10,1
香港生大學,hsu,299,2019/7/12,0
中信金融管理學院,ctbc,298,2018/6/28,1
南榮科大,nju,266,2016/8/11,1
臺灣觀光學院,tht,263,2016/8/25,1
和春技術學院,fotech,236,2016/8/25,1
小禮物,welcomegift,234,2017/12/13,34
稻江科技暨管理學院,toko,230,2016/8/18,2
香港嶺南大學,lingu,224,2019/7/12,0
淡江大學二手物交流,tku_secondhand,214,2018/7/9,0
成功大學二手物交流,ncku_secondhand,208,2018/7/10,0
大漢技術學院,dahan,189,2016/8/25,1
87,87,185,2018/8/6,1
高美醫護管理專科學校,kmvs,165,2016/9/23,1
進階西斯版,ultrasex,155,2018/3/30,0
暗黑新生攻略,survival_guide,144,2019/8/29,24
亞太創意技術學院,apic,143,2016/8/25,1
法鼓文理學院,dila,121,2016/8/25,1
測試香港看板,test_hk,111,2020/2/25,1
HK 贊助活動,hksponsored,80,2020/3/5,1
投票,vote,33,2020/8/17,6
刪文,delete,31,2016/5/23,0
公告,info,22,2017/2/25,0
臨時回報,bugreport,17,2016/5/18,1
NBA測試板,nba_test,1,2020/7/29,63
公告測試區,infotest,1,2017/2/25,1
港澳時事,hktrending,0,2020/1/2,84
港澳 Beauty,hkbeauty,0,2020/1/2,43
港澳 ACG,hkacg,0,2020/1/2,29
廣告 Demo,dcardaddemo,0,2020/3/9,1
選手,athlete,0,2017/8/22,0
新看板資訊,information,0,2020/8/13,0
